systematic_id,gene_name,verification_phenotype,verification_essentiality,round_gene_num,comments,total_colonies,filtered_count,filtering_fraction,deletion_with_area_count,deletion_without_area_count,deletion_with_area_fraction,median_area_day3,median_area_day4,median_area_day5,median_area_day6,mean_area_day3,mean_area_day4,mean_area_day5,mean_area_day6
SPAC227.01c,erd1,small colonies,V,3rd_round_65,3rd_round_65_#4: 有极少部分deletion一个长，一个部长;3rd_round_65_#5: 有极少部分deletion一个长，一个部长,96.0,76.0,0.79,33.0,5.0,0.87,0.026,0.156,0.244,0.238,0.096,0.166,0.217,0.258
SPAC227.13c,isu1,small colonies,V,3rd_round_66,,48.0,48.0,1.0,23.0,1.0,0.96,0.272,0.401,0.447,0.464,0.263,0.408,0.459,0.48
SPAC22A12.04c,rps2201,small colonies,V,12th_round_146,,96.0,96.0,1.0,47.0,1.0,0.98,0.245,0.407,0.473,0.475,0.238,0.385,0.446,0.472
SPAC22E12.10c,etp1,E,E,22th_round_417,,,,,,,,,,,,,,,
SPAC22E12.16c,pik1,E,E,22th_round_423,,,,,,,,,,,,,,,
SPAC22F3.11c,snu23,E,E,22th_round_454,,,,,,,,,,,,,,,
SPAC22F8.11,plc1,E,E,12th_round_147,,,,,,,,,,,,,,,
SPAC22G7.05,kri1,E,E,22th_round_467,,,,,,,,,,,,,,,
SPAC22H12.04c,rps102,small colonies,V,22th_round_466,,48.0,48.0,1.0,23.0,1.0,0.96,0.0,,,0.195,0.0,,,0.18
SPAC23A1.15c,sec20,E,E,1st_round_2,,,,,,,,,,,,,,,
SPAC23C4.14,alg1,E,E,22th_round_424,,,,,,,,,,,,,,,
SPAC23D3.08,usp108,E,E,20th_round_332,,,,,,,,,,,,,,,
SPAC23G3.10c,ssr3,E,E,3rd_round_67,,,,,,,,,,,,,,,
SPAC23H3.03c,npr2,small colonies,V,4th_round_68,4th_round_68_#1: 转印后很难长;4th_round_68_#2: 转印后很难长,96.0,68.0,0.71,30.0,4.0,0.88,0.0,0.02,0.049,0.07,0.002,0.023,0.047,0.067
SPAC23H3.09c,gly1,small colonies,V,4th_round_69,,96.0,84.0,0.88,42.0,0.0,1.0,0.484,0.568,0.644,0.658,0.458,0.597,0.657,0.695
SPAC23H4.18c,rbx1,E,E,19th_round_316,,,,,,,,,,,,,,,
SPAC24B11.13,hem3,E,E,4th_round_70,,,,,,,,,,,,,,,
SPAC24C9.04,med9,E,E,15th_round_174,,,,,,,,,,,,,,,
SPAC24H6.01c,gup1,E,E,16th_round_213,,,,,,,,,,,,,,,
SPAC25B8.15c,tyw3,E,E,17th_round_242,,,,,,,,,,,,,,,
SPAC25G10.03,zip1,small colonies,V,12th_round_148,,96.0,92.0,0.96,46.0,0.0,1.0,0.0,0.03,0.123,0.178,0.001,0.036,0.124,0.187
SPAC25G10.06,rps2801,small colonies,V,22th_round_392,,52.0,44.0,0.85,21.0,1.0,0.95,0.056,,,0.281,0.054,,,0.365
SPAC25G10.09c,pan1,E,E,4th_round_71,,,,,,,,,,,,,,,
SPAC26A3.03c,rmi1,E,E,20th_round_333,,,,,,,,,,,,,,,
SPAC26F1.04c,etr1,small colonies,V,21th_round_351,21th_round_351_#1: 克隆可见但转印后难长;21th_round_351_#2: 克隆可见但转印后难长,96.0,92.0,0.96,40.0,6.0,0.87,0.0,0.013,0.02,0.021,0.003,0.012,0.019,0.02
SPAC26H5.12,rpo41,E,E,16th_round_198,,,,,,,,,,,,,,,
SPAC27E2.03c,ola1,small colonies,V,18th_round_308,,96.0,96.0,1.0,48.0,0.0,1.0,0.39,0.467,0.493,0.47,0.39,0.467,0.506,0.52
SPAC29A4.03c,mrps9,E,E,22th_round_404,22th_round_404_#LV500: 克隆部分轻微可见,,,,,,,,,,,,,,
SPAC29A4.16,hal4,small colonies,V,17th_round_243,,96.0,96.0,1.0,48.0,0.0,1.0,0.351,0.468,0.5,0.56,0.345,0.467,0.522,0.579
SPAC29A4.20,elp3,small colonies,V,22th_round_353,,52.0,48.0,0.92,18.0,6.0,0.75,0.312,,,0.618,0.328,,,0.555
